TEAM,TEAM_ABBR,W,L,PCT,GB,WCGB,XTRA,1 RUN,DAY,NIGHT,GRASS,TURF,East,Central,West,AL/NL,VS. R,VS. L
Milwaukee Brewers,MIL,95,61,0.609,-,-,7-4,28-19,35-29,60-32,90-54,5-7,21-9,30-19,16-13,28-20,66-44,29-17
Philadelphia Phillies,PHI,92,64,0.59,3,-,8-5,24-20,29-27,63-37,82-58,10-6,29-20,14-16,20-12,29-16,70-39,22-25
Toronto Blue Jays,TOR,90,66,0.577,5,-,10-4,27-20,33-33,57-33,36-39,54-27,25-21,16-15,19-12,30-18,67-51,23-15
Chicago Cubs,CHC,88,68,0.564,7,8,6-5,25-19,39-31,49-37,83-61,5-7,14-13,27-22,17-15,30-18,69-46,19-22
Los Angeles Dodgers,LAD,88,68,0.564,7,-,7-7,23-23,26-17,62-51,80-64,8-4,18-13,12-19,34-15,24-21,65-45,23-23
New York Yankees,NYY,88,68,0.564,7,4,6-8,21-22,33-23,55-45,86-57,2-11,24-25,18-10,20-11,26-22,71-51,17-17
Seattle Mariners,SEA,87,69,0.558,8,-,10-11,30-21,33-20,54-49,81-63,6-6,10-20,21-11,34-18,22-20,60-50,27-19
Boston Red Sox,BOS,85,71,0.545,10,1,8-12,21-26,31-23,54-48,82-64,3-7,30-19,15-13,14-17,26-22,61-50,24-21
Detroit Tigers,DET,85,71,0.545,10,-,5-8,20-10,36-27,49-44,81-66,4-5,18-10,29-20,15-16,23-25,62-55,23-16
San Diego Padres,SDP,85,71,0.545,10,5,7-4,29-23,32-23,53-48,81-63,4-8,20-11,16-12,29-20,20-28,61-48,24-23
Cleveland Guardians,CLE,84,72,0.538,11,-,11-6,24-20,27-27,57-45,81-66,3-6,17-15,34-15,13-14,20-28,65-48,19-24
Houston Astros,HOU,84,72,0.538,11,-,8-7,27-16,27-23,57-49,75-65,9-7,16-16,15-15,22-24,31-17,66-59,18-13
Cincinnati Reds,CIN,80,76,0.513,15,-,3-11,21-21,33-23,47-53,78-71,2-5,14-18,23-23,17-13,26-22,60-51,20-25
New York Mets,NYM,80,76,0.513,15,-,6-7,23-26,29-32,51-44,76-74,4-2,24-25,13-15,19-12,24-24,56-55,24-21
Arizona Diamondbacks,ARI,79,77,0.506,16,1,7-11,20-27,28-25,51-52,31-38,48-39,15-15,14-18,25-21,25-23,58-54,21-23
Texas Rangers,TEX,79,77,0.506,16,5,9-7,21-27,25-25,54-52,30-42,49-35,15-16,14-11,25-27,25-23,62-55,17-22
Kansas City Royals,KCR,78,78,0.5,17,6,7-5,24-18,29-27,49-51,70-74,8-4,13-17,26-26,13-13,26-22,61-66,17-12
San Francisco Giants,SFG,77,79,0.494,18,3,9-6,26-28,32-33,45-46,72-71,5-8,16-15,16-12,21-28,24-24,61-51,16-28
Miami Marlins,MIA,76,80,0.487,19,4,9-4,21-21,37-29,39-51,34-38,42-42,20-26,16-16,14-16,26-22,57-55,19-25
St. Louis Cardinals,STL,76,80,0.487,19,4,4-8,24-20,30-32,46-48,73-74,3-6,16-15,24-25,14-14,22-26,52-58,24-22
Tampa Bay Rays,TBR,76,80,0.487,19,8,5-7,22-28,30-28,46-52,71-73,5-7,19-27,13-18,16-15,28-20,56-54,20-26
Athletics,ATH,73,83,0.468,22,11,9-5,19-21,22-27,51-56,68-74,5-9,14-17,18-10,21-28,20-28,53-67,20-16
Atlanta Braves,ATL,73,83,0.468,22,7,8-8,20-34,20-26,53-57,66-74,7-9,28-21,14-14,9-22,22-26,51-64,22-19
Baltimore Orioles,BAL,73,83,0.468,22,11,6-6,26-23,34-32,39-51,69-74,4-9,20-26,12-19,17-14,24-24,51-58,22-25
Los Angeles Angels,LAA,70,86,0.449,25,14,9-5,26-21,16-28,54-58,69-78,1-8,14-17,12-16,22-27,22-26,59-70,11-16
Minnesota Twins,MIN,67,89,0.429,28,17,4-10,15-26,28-38,39-51,65-85,2-4,16-14,20-32,12-17,19-26,56-67,11-22
Pittsburgh Pirates,PIT,67,89,0.429,28,13,6-7,24-34,28-38,39-51,64-85,3-4,16-13,17-32,17-13,17-31,53-69,14-20
Washington Nationals,WSN,64,92,0.41,31,16,5-3,22-16,26-43,38-49,59-84,5-8,20-29,11-20,15-16,18-27,47-63,17-29
Chicago White Sox,CHW,58,98,0.372,37,26,3-7,14-34,26-42,32-56,56-94,2-4,11-18,18-34,10-20,19-26,43-77,15-21
Colorado Rockies,COL,43,113,0.276,52,37,1-5,18-21,19-42,24-71,39-105,4-8,9-23,10-20,12-37,12-33,35-79,8-34